file,line,widget,param,snippet,isLocalized,proposedKey,notes
lib/design/filters/trips_filters_sheet.dart,119,Text,text,Filtres,no,filters,Interface de filtrage
lib/design/filters/trips_filters_sheet.dart,134,Text,text,Période,no,period,Section période
lib/design/filters/trips_filters_sheet.dart,162,Text,text,Type de réservation,no,reservationType,Section type de réservation
lib/design/filters/trips_filters_sheet.dart,202,Text,text,Date,no,date,Section date
lib/design/filters/trips_filters_sheet.dart,221,Text,text,Prix,no,price,Section prix
lib/screens/utilisateur/trips/trips_screen_refined.dart,96,SnackBar,content,Veuillez sélectionner au moins une réservation,no,selectAtLeastOneReservation,Message d'erreur sélection
lib/screens/utilisateur/trips/trips_screen_refined.dart,107,SnackBar,content,Génération du PDF... (${_selection.count} réservations),no,generatingPdf,Message génération PDF
lib/screens/utilisateur/trips/trips_screen_refined.dart,119,SnackBar,content,Aucune donnée trouvée pour les réservations sélectionnées,no,noDataFound,Message aucune donnée
lib/screens/utilisateur/trips/trips_screen_refined.dart,132,SnackBar,content,PDF exporté avec succès !,no,pdfExportedSuccessfully,Message succès export
lib/screens/utilisateur/trips/trips_screen_refined.dart,142,SnackBar,content,Erreur lors de l'export: $e,no,exportError,Message erreur export
lib/data/services/admin_global_notification_service.dart,803,SnackBar,content,Réservation refusée,no,reservationRefused,Message refus réservation
lib/data/services/admin_global_notification_service.dart,818,SnackBar,content,Erreur: $e,no,error,Message erreur générique
lib/data/services/admin_global_notification_service.dart,1112,Text,text,Proposer,no,propose,Action proposer
lib/data/services/admin_global_notification_service.dart,1179,SnackBar,content,Erreur: $e,no,error,Message erreur générique
lib/screens/admin/reception/admin_reception_screen_complete.dart,166,Text,text,🧪 Créer réservation de test,no,createTestReservation,Bouton test réservation
lib/screens/admin/reception/admin_reception_screen_complete.dart,234,SnackBar,content,❌ Erreur lors du test: $e,no,testError,Message erreur test
lib/screens/admin/reception/admin_reception_screen_complete.dart,503,SnackBar,content,Réservation annulée avec succès,no,reservationCancelledSuccess,Message succès annulation
lib/screens/admin/reception/admin_reception_screen_complete.dart,512,SnackBar,content,Erreur lors de l'annulation: $e,no,cancellationError,Message erreur annulation
